Bin Lower Edge (MeV)	Bin Width	Cross Section	Uncert. (abs)
0.1059	0.00628	0.9979	0.015
0.1122	0.00665	0.9529	0.014
0.1189	0.00704	0.9743	0.014
0.1259	0.00746	0.99	0.012
0.1334	0.0079	1.008	0.012
0.1413	0.00837	1.042	0.013
0.1496	0.00887	1.061	0.011
0.1585	0.00939	1.058	0.011
0.1679	0.00995	1.105	0.011
0.1778	0.0105	1.091	0.011
0.1884	0.0112	1.057	0.01
0.1995	0.0118	1.128	0.01
0.2113	0.0125	1.149	0.0098
0.2239	0.0133	1.174	0.01
0.2371	0.0141	1.181	0.0099
0.2512	0.0149	1.22	0.0099
0.2661	0.0158	1.252	0.0095
0.2818	0.0167	1.273	0.0093
0.2985	0.0177	1.26	0.0087
0.3162	0.0187	1.272	0.009
0.335	0.0198	1.282	0.0087
0.3548	0.021	1.275	0.0086
0.3758	0.0223	1.296	0.0084
0.3981	0.0236	1.305	0.0081
0.4217	0.025	1.341	0.0086
0.4467	0.0265	1.375	0.0084
0.4732	0.028	1.405	0.0084
0.5012	0.0297	1.419	0.0078
0.5309	0.0315	1.411	0.0077
0.5623	0.0333	1.439	0.008
0.5957	0.0353	1.465	0.008
0.631	0.0374	1.455	0.0076
0.6683	0.0396	1.474	0.0074
0.7079	0.0419	1.498	0.0078
0.7499	0.0444	1.529	0.008
0.7943	0.0471	1.545	0.008
0.8414	0.0499	1.523	0.0076
0.8913	0.0528	1.472	0.0074
0.9441	0.0559	1.441	0.0073
1	0.0593	1.452	0.0069
1.059	0.0628	1.478	0.0071
1.122	0.0665	1.506	0.0076
1.189	0.0704	1.534	0.0077
1.259	0.0746	1.568	0.0074
1.334	0.079	1.594	0.0076
1.413	0.0837	1.584	0.0074
1.496	0.0887	1.588	0.0081
1.585	0.0939	1.576	0.0074
1.679	0.0995	1.562	0.0076
1.778	0.105	1.566	0.0076
1.884	0.112	1.559	0.0068
1.995	0.118	1.556	0.0078
2.113	0.125	1.561	0.0076
2.239	0.133	1.554	0.008
2.371	0.141	1.54	0.0072
2.512	0.149	1.542	0.0074
2.661	0.158	1.547	0.0075
2.818	0.167	1.55	0.0075
2.985	0.177	1.557	0.0073
3.162	0.187	1.571	0.0079
3.35	0.198	1.567	0.0077
3.548	0.21	1.57	0.0081
3.758	0.223	1.56	0.008
3.981	0.236	1.588	0.0082
4.217	0.25	1.586	0.008
4.467	0.265	1.588	0.0085
4.732	0.28	1.598	0.0085
5.012	0.297	1.598	0.0088
5.309	0.315	1.626	0.0091
5.623	0.333	1.654	0.0093
5.957	0.353	1.594	0.0087
6.31	0.374	1.486	0.008
6.683	0.396	1.395	0.0077
7.079	0.419	1.333	0.007
7.499	0.444	1.309	0.0071
7.943	0.471	1.292	0.0067
8.414	0.499	1.296	0.0072
8.913	0.528	1.294	0.0071
9.441	0.559	1.307	0.0077
10	0.593	1.313	0.0075
10.59	0.628	1.327	0.008
11.22	0.665	1.324	0.0084
11.89	0.704	1.307	0.0083
12.59	0.746	1.274	0.0081
13.34	0.79	1.214	0.0081
14.13	0.837	1.166	0.0077
14.96	0.887	1.136	0.0078
15.85	0.939	1.13	0.0079
16.79	0.995	1.148	0.0074
17.78	1.05	1.152	0.0077
18.84	1.12	1.164	0.0082
19.95	1.18	1.166	0.0083
21.13	1.25	1.138	0.0078
22.39	1.33	1.118	0.0081
23.71	1.41	1.107	0.0079
25.12	1.49	1.089	0.0075
26.61	1.58	1.111	0.0078
28.18	1.67	1.095	0.008
29.85	1.77	1.094	0.0078
31.62	1.87	1.085	0.0081
33.5	1.98	1.09	0.0076
35.48	2.1	1.077	0.0079
37.58	2.23	1.089	0.0081
39.81	2.36	1.069	0.0077
42.17	2.5	1.09	0.0079
44.67	2.65	1.075	0.0082
47.32	2.8	1.066	0.0079
50.12	2.97	1.07	0.0086
53.09	3.15	1.079	0.0081
56.23	3.33	1.082	0.0086
59.57	3.53	1.092	0.0085
63.1	3.74	1.098	0.009
66.83	3.96	1.093	0.0086
70.79	4.19	1.094	0.009
74.99	4.44	1.089	0.0089
79.43	4.71	1.088	0.01
84.14	4.99	1.074	0.0091
89.13	5.28	1.099	0.0098
94.41	5.59	1.103	0.01
